,start_time,end_time,p_values
215,1369071179.524414,1369071187.468261,0.0
216,1369071286.936524,1369071294.269531,0.0
217,1369071358.421204,1369071365.493652,0.0
218,1369071434.764161,1369071441.839355,0.0
219,1369071462.888672,1369071472.498047,0.0
220,1369071592.202881,1369071599.688964,0.0
221,1369072003.0625,1369072010.199218,0.0
222,1369072023.651856,1369072032.285461,0.0
223,1369072368.8125,1369072375.973144,0.0
224,1369072445.280396,1369072452.833984,0.0
225,1369072527.987305,1369072538.942382,0.0
226,1369072806.841797,1369072815.567871,0.0
227,1369072982.769532,1369072991.942382,0.0
228,1369073226.126465,1369073233.269531,0.0
229,1369073246.126953,1369073253.730835,0.0
230,1369073598.764649,1369073606.580078,0.0
231,1369073710.918457,1369073719.261718,0.0
232,1369074213.907715,1369074232.5,0.0
233,1369074380.125,1369074396.372802,0.0
234,1369074506.859375,1369074518.5,0.0
235,1369076843.777344,1369076851.106201,0.0
236,1369077542.088868,1369077549.230957,0.0
237,1369078135.110352,1369078143.146484,0.0
238,1369078526.533692,1369078536.676391,0.0
239,1369078649.59668,1369078656.77063,0.0
240,1369079237.359375,1369079244.422363,0.0
241,1369079619.524414,1369079627.181884,0.0
242,1369079936.777344,1369079946.291015,0.0
243,1369080237.111817,1369080244.94104,1.0
244,1369080364.404786,1369080373.594482,0.0
245,1369080712.546875,1369080720.792968,1.0
246,1369080849.875,1369080858.170166,0.0
247,1369081119.715821,1369081127.154297,1.0
248,1369081497.475098,1369081504.56372,0.006738
249,1369082089.335938,1369082099.562988,0.0
250,1369082539.249512,1369082550.784668,0.0
251,1369083105.948365,1369083113.311401,0.0
252,1369083123.288086,1369083132.675781,0.0
253,1369083257.055176,1369083264.966308,0.0
254,1369083324.790528,1369083333.630859,0.0
255,1369083566.089356,1369083573.599365,0.0
256,1369083799.574219,1369083807.648437,0.0
257,1369083807.652344,1369083814.893798,0.0
258,1369083981.180909,1369083990.166015,0.0
259,1369084030.37024,1369084037.533203,0.0
260,1369084589.419922,1369084598.152588,0.0
261,1369084720.06836,1369084727.174804,0.0
262,1369084898.598633,1369084906.18457,0.0
263,1369085069.53418,1369085080.787109,0.0
264,1369085238.362793,1369085245.53125,0.0
265,1369085274.295411,1369085282.070312,0.0
266,1369085827.079102,1369085836.283203,0.0
267,1369086095.53125,1369086102.925415,0.0
268,1369086482.69043,1369086490.186523,0.0
269,1369086528.206055,1369086537.835937,0.0
270,1369086539.352539,1369086546.451172,0.0
271,1369086674.97583,1369086682.267578,0.085758
272,1369086709.155518,1369086717.033447,0.649677
273,1369087051.178223,1369087059.32788,0.0
274,1369087075.356934,1369087085.188476,1.0
275,1369087588.911133,1369087597.038574,0.000134
276,1369087650.178955,1369087657.5,0.992352
277,1369087926.814209,1369087934.508056,1.0
278,1369088480.049317,1369088488.630859,0.808659
279,1369089039.487305,1369089047.664062,0.0
280,1369089227.197022,1369089236.765136,1e-06
281,1369089325.786438,1369089334.757812,1.0
282,1369089740.772583,1369089748.41333,0.15357
283,1369089875.283203,1369089882.85559,1.0
284,1369090819.393555,1369090826.739257,0.988681
285,1369090838.535157,1369090847.758789,1.0
286,1369091215.067383,1369091222.218505,1.0
287,1369091345.715332,1369091355.596191,1.0
288,1369091434.148438,1369091446.169922,1.0
289,1369092021.390137,1369092028.911132,1e-06
290,1369092345.785157,1369092353.257812,1e-06
291,1369092482.919434,1369092494.801757,1.0
292,1369092568.356446,1369092575.740234,0.028223
293,1369092754.453858,1369092761.623047,1.0
294,1369093338.301758,1369093347.172485,1.0
295,1369093633.394532,1369093641.544922,0.317586
296,1369094054.238282,1369094062.973266,0.005457
297,1369094419.923828,1369094431.046875,1.0
298,1369094497.41626,1369094504.46875,0.043333
299,1369094994.367432,1369095001.881103,0.000629
300,1369095049.375,1369095060.615234,0.0
301,1369095398.625,1369095407.423828,0.0
302,1369095960.963868,1369095968.572021,0.0
303,1369096326.207032,1369096335.5,1.0
304,1369096508.36377,1369096515.666015,0.951359
305,1369096533.679322,1369096541.391601,0.021847
306,1369096638.954468,1369096646.389831,0.511742
307,1369096724.09375,1369096736.100097,0.694421
308,1369097336.917969,1369097346.632568,0.0
309,1369097503.117188,1369097517.218261,3e-06
310,1369097605.305664,1369097613.990478,1.0
