,start_time,end_time,p_values
398,1238646496.3388698,1238646504.958984,1.0
399,1238615647.9633758,1238615659.336914,1.0
400,1238612167.699222,1238612175.279297,0.0
401,1238612283.179746,1238612290.355468,0.0
402,1238612292.5644572,1238612300.741455,0.0
403,1238660418.6965292,1238660425.8125,1.0
404,1238685122.0375988,1238685134.705078,1.0
405,1238678598.0,1238678606.072265,1.0
406,1238696472.265625,1238696479.358276,1.0
407,1238611464.5683641,1238611473.152343,0.0
408,1238611494.0,1238611504.748535,0.0
409,1238611557.614261,1238611566.90039,0.0
410,1238613470.526857,1238613478.0,1.0
411,1238650607.77734,1238650616.820312,1.0
412,1238666469.386724,1238666479.178711,1.0
413,1238666534.5000038,1238666542.541992,1.0
414,1238680139.8837922,1238680147.638672,1.0
415,1238681165.177732,1238681174.173828,1.0
416,1238613730.08008,1238613737.202148,0.004763
417,1238619206.43945,1238619213.442382,1.0
418,1238619317.1201198,1238619325.761718,1.0
419,1238683854.777345,1238683864.0,1.0
420,1238686332.6367161,1238686341.23291,1.0
421,1238611037.88281,1238611047.521728,0.0
422,1238665509.638668,1238665517.461792,1.0
423,1238698516.232425,1238698523.585693,1.0
424,1238698194.291744,1238698201.46289,1.0
425,1238698212.666868,1238698220.0,1.0
426,1238615368.322507,1238615375.730224,1.0
427,1238615425.139891,1238615432.483398,1.0
428,1238615527.571779,1238615535.299804,1.0
429,1238615540.127927,1238615548.936035,1.0
430,1238651606.058597,1238651615.740234,1.0
431,1238679587.4462888,1238679594.988281,1.0
432,1238661072.998043,1238661082.018066,1.0
433,1238689108.96484,1238689116.62207,1.0
434,1238689301.8945339,1238689310.89331,1.0
435,1238695489.6279328,1238695497.882812,1.0
436,1238671759.799802,1238671768.875,1e-06
437,1238682735.467777,1238682742.541992,1.0
438,1238686553.84375,1238686561.720703,1.0
439,1238667410.030273,1238667418.3125,1.0
440,1238667575.084961,1238667582.9375,1.0
441,1238667742.2548828,1238667754.007812,1.0
442,1238692128.700196,1238692139.006836,1.0
443,1238610105.402347,1238610117.460449,0.0
444,1238654378.0,1238654385.226562,1.0
445,1238647195.6274428,1238647202.877929,1.0
446,1238667068.0,1238667075.938476,1.0
